iter	RMSE
222	205869.1865
223	205398.2921
224	204799.9121
225	204577.8529
226	204171.0798
227	203707.6043
228	203277.3181
229	202841.5193
230	202544.0009
231	202003.9076
232	201654.9393
233	201147.4196
234	200777.6022
235	200319.7628
236	199952.1031
237	199552.3868
238	199234.088
239	198854.4004
240	198291.9888
241	197946.2772
242	197577.3735
243	197221.109
244	196749.9131
245	196332.6355
246	195965.187
247	195642.8899
248	195332.0251
249	194949.2644
250	194391.4761
251	193869.6245
252	193401.8722
253	193098.4361
254	192573.888
255	191743.0982
256	191327.9485
257	191215.7512
258	190510.9769
259	190237.4751
260	189975.0484
261	189663.8832
262	189272.2959
263	188980.8905
264	188665.4529
265	188445.5558
266	188084.8389
267	187722.7628
268	187323.2472
269	186862.7333
270	186552.4777
271	186197.3216
272	185825.3281
273	185515.6532
274	185231.4115
275	184895.7028
276	184450.3636
277	184135.0141
278	183589.4754
279	183330.8748
280	182973.8377
281	182636.752
282	182568.4742
283	181984.7424
284	181643.6715
285	181600.9594
286	181215.8256
287	180731.8902
288	180695.052
289	180597.5607
290	180351.8641
291	180024.6431
292	179612.1644
293	179268.8995
294	179005.6076
295	178520.4785
296	178202.9562
297	177866.5526
298	177517.111
299	177144.8129
300	176751.4215
301	176406.4416
302	175929.5815
303	175585.5036
304	175545.6059
305	175161.8177
306	174572.1461
307	174542.4356
308	174279.1356
309	173932.5537
310	173655.0552
311	173427.9884
312	173340.3612
313	173047.8707
314	172662.9624
315	172259.9594
316	171913.3727
317	171573.5594
318	171383.2897
319	170940.0757
320	170702.0563
321	170342.3765
322	170317.28
323	170282.2678
324	169951.0925
325	169681.6742
326	169430.7426
327	169195.1302
328	168855.0691
329	168821.6226
330	168578.604
331	168265.4815
332	168233.2434
333	167701.7418
334	167465.0591
335	167164.2257
336	166974.9603
337	166684.4121
338	166466.1009
339	166239.9455
340	165990.679
341	165756.6767
342	165713.7777
343	165683.918
344	165437.7608
345	165124.0541
346	164710.6667
347	164683.5359
348	164665.5618
349	164637.874
350	164300.8745
351	164052.432
352	163717.5358
353	163698.7454
354	163419.0267
355	163106.6721
356	162812.5844
357	162485.4123
358	161978.4073
359	161660.8996
360	161364.4826
361	161144.0563
362	160882.5581
363	160649.9579
364	160441.5049
365	160149.66
366	159953.6036
367	159811.8075
368	159412.918
369	159113.7004
370	158787.8621
371	158553.875
372	158313.5007
373	158127.0687
374	157875.6391
375	157599.0975
376	157359.966
377	157195.7265
378	156903.5765
379	156587.7762
380	156181.831
381	155915.4411
382	155713.9301
383	155466.9636
384	155154.3693
385	154965.3351
386	154599.4557
387	154400.1357
388	154266.1026
389	154011.4359
390	153680.6615
391	153318.935
392	153161.041
393	153137.8251
394	152890.9484
395	152698.9779
396	152679.4279
397	152401.8877
398	152249.4085
399	152229.7878
400	152081.2247
401	151939.6145
402	151641.0503
403	151256.5687
404	151031.1685
405	150786.4711
406	150750.9373
407	150474.6147
408	150249.2016
409	149970.3003
410	149801.5055
411	149780.9857
412	149649.8591
413	149418.5698
414	148960.693
415	148634.3749
416	148410.4613
417	148390.3667
418	148250.4084
419	148072.2018
