iter	Passed	Remaining
619	1035	634
620	1037	633
621	1038	631
622	1040	629
623	1042	627
624	1043	626
625	1045	624
626	1047	622
627	1048	621
628	1050	619
629	1052	617
630	1053	616
631	1055	614
632	1057	612
633	1058	611
634	1060	609
635	1062	607
636	1063	606
637	1065	604
638	1067	603
639	1069	601
640	1070	599
641	1072	598
642	1074	596
643	1076	595
644	1078	593
645	1080	592
646	1082	590
647	1083	588
648	1085	587
649	1087	585
650	1090	584
651	1092	582
652	1094	581
653	1095	579
654	1097	578
655	1099	576
656	1101	574
657	1103	573
658	1104	571
659	1106	569
660	1107	568
661	1109	566
662	1111	564
663	1112	563
664	1114	561
665	1116	560
666	1118	558
667	1121	557
668	1123	555
669	1124	553
670	1126	552
671	1128	550
672	1130	549
673	1131	547
674	1133	545
675	1135	544
676	1138	542
677	1139	541
678	1141	539
679	1143	538
680	1145	536
681	1146	534
682	1148	533
683	1150	531
684	1152	529
685	1154	528
686	1155	526
687	1157	524
688	1159	523
689	1161	521
690	1163	520
691	1165	518
692	1167	517
693	1169	515
694	1171	513
695	1172	512
696	1174	510
697	1176	509
698	1178	507
699	1180	506
700	1182	504
701	1184	502
702	1186	501
703	1188	499
704	1190	498
705	1192	496
706	1193	494
707	1196	493
708	1198	492
709	1200	490
710	1202	488
711	1204	487
712	1205	485
713	1207	483
714	1209	481
715	1211	480
716	1213	479
717	1215	477
718	1217	475
719	1218	474
720	1220	472
721	1222	470
722	1223	468
723	1226	467
724	1228	465
725	1230	464
726	1232	462
727	1233	460
728	1235	459
729	1236	457
730	1238	455
731	1241	454
732	1243	452
733	1244	451
734	1246	449
735	1248	447
736	1249	445
737	1251	444
738	1253	442
739	1254	440
740	1256	439
741	1258	437
742	1259	435
743	1261	434
744	1263	432
745	1264	430
746	1266	428
747	1268	427
748	1270	425
749	1271	423
750	1273	422
751	1275	420
752	1277	418
753	1278	417
754	1280	415
755	1282	413
756	1283	412
757	1285	410
758	1287	408
759	1289	407
760	1290	405
761	1292	403
762	1294	401
763	1295	400
764	1297	398
765	1299	396
766	1300	395
767	1302	393
768	1304	391
769	1306	390
770	1307	388
771	1308	386
772	1310	384
773	1311	382
774	1313	381
775	1314	379
776	1316	377
777	1317	375
778	1318	374
779	1320	372
780	1321	370
781	1323	368
782	1324	367
783	1325	365
784	1327	363
785	1329	361
786	1330	360
787	1332	358
788	1333	356
789	1334	354
790	1336	353
791	1337	351
792	1338	349
793	1340	347
794	1341	345
795	1343	344
796	1344	342
797	1346	340
798	1347	338
799	1348	337
800	1350	335
801	1351	333
802	1352	331
803	1354	330
804	1355	328
805	1356	326
806	1358	324
807	1359	323
808	1361	321
809	1362	319
810	1363	317
811	1365	316
812	1366	314
813	1367	312
814	1369	310
815	1370	309
816	1371	307
817	1373	305
818	1374	303
819	1376	302
820	1377	300
821	1378	298
822	1380	296
823	1381	295
824	1382	293
825	1384	291
826	1385	289
827	1386	288
828	1388	286
829	1389	284
830	1390	282
831	1392	281
832	1393	279
833	1395	277
834	1397	276
835	1398	274
836	1400	272
837	1402	271
838	1403	269
839	1405	267
840	1407	266
841	1409	264
842	1410	262
843	1412	261
844	1414	259
845	1415	257
846	1417	255
847	1418	254
848	1419	252
849	1421	250
850	1422	249
851	1423	247
852	1425	245
853	1426	243
854	1428	242
855	1429	240
856	1430	238
857	1432	237
858	1433	235
859	1434	233
860	1436	231
861	1437	230
862	1438	228
863	1439	226
864	1441	224
865	1442	223
866	1443	221
867	1445	219
868	1446	218
869	1447	216
870	1449	214
871	1450	212
872	1451	211
873	1452	209
874	1454	207
875	1455	206
876	1456	204
877	1458	202
878	1459	200
879	1460	199
880	1462	197
881	1463	195
882	1464	194
883	1466	192
884	1467	190
885	1469	189
886	1471	187
887	1472	185
888	1474	184
889	1475	182
890	1477	180
891	1478	179
892	1479	177
893	1481	175
894	1482	173
895	1484	172
896	1485	170
897	1486	168
898	1488	167
899	1489	165
900	1491	163
901	1492	162
902	1494	160
903	1495	158
904	1497	157
905	1498	155
906	1500	153
907	1502	152
908	1503	150
909	1504	148
910	1506	147
911	1507	145
912	1508	143
913	1510	142
914	1511	140
915	1512	138
916	1514	137
917	1515	135
918	1517	133
919	1518	132
920	1519	130
921	1521	128
922	1522	127
923	1523	125
924	1525	123
925	1526	121
926	1527	120
927	1529	118
928	1530	116
929	1532	115
930	1533	113
931	1534	111
932	1536	110
933	1537	108
934	1538	106
935	1540	105
936	1541	103
937	1543	101
938	1544	100
939	1545	98
940	1547	97
941	1548	95
942	1549	93
943	1551	92
944	1552	90
945	1554	88
946	1555	87
947	1556	85
948	1558	83
949	1559	82
950	1560	80
951	1562	78
952	1563	77
953	1564	75
954	1566	73
955	1567	72
956	1568	70
957	1570	68
958	1571	67
959	1573	65
960	1574	63
961	1575	62
962	1577	60
963	1579	58
964	1580	57
965	1583	55
966	1585	54
967	1586	52
968	1588	50
969	1590	49
970	1591	47
971	1593	45
972	1595	44
973	1597	42
974	1598	40
975	1600	39
976	1602	37
977	1604	36
978	1605	34
979	1607	32
980	1609	31
981	1611	29
982	1613	27
983	1614	26
984	1616	24
985	1618	22
986	1619	21
987	1621	19
988	1623	18
989	1625	16
990	1626	14
991	1628	13
992	1630	11
993	1631	9
994	1633	8
995	1635	6
996	1637	4
997	1638	3
998	1640	1
999	1641	0
